관측소명:경포대해수욕장
위도:37.80897222222220
경도:128.931888888889
관측시간	유속(cm/s)	유향(16points)	유향(deg)	수온(℃)	염분(PSU)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	시정(m)	파향(deg)	
2018-12-01 00:00:00	10.4	동남동	103	13.99	32.29	0.70	7.0	1.01	7.5	5.2	남서	224	7.4	1023.8	-	26
2018-12-01 00:05:00	10.9	동남동	103	13.98	32.23	0.75	6.6	0.99	7.0	3.7	서남서	240	7.4	1023.8	-	32
2018-12-01 00:10:00	10.8	동	101	13.99	32.21	0.79	6.6	1.14	6.5	4.7	서남서	243	7.5	1023.8	-	19
2018-12-01 00:15:00	7.9	동남동	113	13.99	32.19	0.89	6.7	1.29	7.0	4.3	서남서	242	7.6	1023.8	-	22
2018-12-01 00:20:00	11.9	동	99	13.98	32.21	0.72	6.7	1.05	6.5	5.2	서남서	245	7.6	1023.8	-	29
2018-12-01 00:25:00	9.4	동남동	104	13.99	32.24	0.78	6.7	0.95	7.5	4.3	서남서	253	7.4	1023.8	-	12
2018-12-01 00:30:00	11.1	동남동	104	13.99	32.22	0.91	7.0	1.15	7.0	3.0	서	278	7.8	1024.0	-	30
2018-12-01 00:35:00	6.8	동남동	104	13.99	32.20	0.59	6.5	0.89	6.0	3.6	서	262	7.5	1024.0	-	23
2018-12-01 00:40:00	10.3	동남동	113	13.99	32.21	0.70	6.4	0.91	6.5	3.8	서남서	246	7.4	1024.0	-	16
2018-12-01 00:45:00	9.2	동	100	13.99	32.26	0.65	6.2	0.96	5.5	4.1	서	267	7.2	1024.0	-	23
2018-12-01 00:50:00	6.4	동	91	13.99	32.19	0.83	6.8	1.08	7.5	2.9	서남서	251	7.1	1024.1	-	20
2018-12-01 00:55:00	9.8	동남동	112	13.98	32.24	0.70	6.6	1.08	5.5	2.6	남서	223	7.0	1024.1	-	35
2018-12-01 01:00:00	9.4	동	99	13.97	32.20	0.76	6.5	1.05	7.0	4.1	남서	222	7.3	1024.1	-	39
2018-12-01 01:05:00	8.8	동남동	108	13.97	32.22	0.68	6.3	0.98	6.0	4.1	남서	223	7.5	1024.0	-	29
2018-12-01 01:10:00	8.1	동남동	119	13.97	32.23	0.64	5.5	0.77	6.0	4.7	남서	234	7.4	1024.0	-	15
