°üÃø¼Ò¸í:°æÆ÷´ëÇØ¼ö¿åÀå
À§µµ:37.808972
°æµµ:128.931889
°üÃø½Ã°£	À¯¼Ó(cm/s)	À¯Çâ(16points)	À¯Çâ(deg)	¼ö¿Â(¡É)	À¯ÀÇÆÄ°í(m)	À¯ÀÇÆÄÁÖ±â(sec)	ÃÖ´ëÆÄ°í(m)	ÃÖ´ëÆÄÁÖ±â(sec)	Ç³¼Ó(m/s)		Ç³Çâ(deg)	±â¿Â(¡É)	±â¾Ð(hPa)	½ÃÁ¤(m)	ÆÄÇâ(deg)	
2022/04/01 00:00:00	17.8	³²³²µ¿	159	9.45	1.21	6.3	1.45	6.0	3.6	¼­³²¼­	254	5.1	1029.5	-	27	
2022/04/01 00:05:00	18.4	³²³²µ¿	158	9.44	0.92	6.7	1.42	6.0	3.4	¼­³²¼­	258	5.0	1029.5	-	14	
2022/04/01 00:10:00	20.3	³²³²µ¿	168	9.44	1.34	6.1	1.84	5.5	3.1	¼­³²¼­	252	4.9	1029.5	-	62	
2022/04/01 00:15:00	19.6	³²³²µ¿	166	9.45	1.15	6.4	1.75	6.0	3.4	¼­³²¼­	246	4.9	1029.5	-	19	
2022/04/01 00:20:00	24.5	³²³²µ¿	164	9.43	1.21	5.8	2.02	6.0	3.3	¼­³²¼­	246	4.8	1029.5	-	35	
2022/04/01 00:25:00	17.3	³²³²µ¿	159	9.43	1.28	6.2	1.81	6.5	3.3	¼­³²¼­	252	4.7	1029.5	-	8	
2022/04/01 00:30:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2022/04/01 00:35:00	22.3	³²³²µ¿	166	9.41	1.22	6.1	1.55	6.5	3.3	¼­³²¼­	245	4.6	1029.5	-	11	
2022/04/01 00:40:00	20.8	³²³²µ¿	159	9.41	1.32	5.9	1.71	5.5	3.2	³²¼­	228	4.8	1029.5	-	33	
2022/04/01 00:45:00	20.9	³²³²µ¿	166	9.41	0.97	5.8	1.55	5.5	2.9	³²¼­	227	4.5	1029.5	-	45	
2022/04/01 00:50:00	22.3	³²³²µ¿	164	9.39	1.11	6.0	1.61	6.0	3.1	³²¼­	236	4.4	1029.5	-	17	
2022/04/01 00:55:00	20.2	³²³²µ¿	165	9.39	1.13	6.2	1.87	5.5	3.1	¼­³²¼­	239	4.5	1029.5	-	13	
2022/04/01 01:00:00	20.9	³²	172	9.41	1.10	5.9	1.57	6.0	3.2	¼­³²¼­	242	4.3	1029.5	-	13	
2022/04/01 01:05:00	21.3	³²	175	9.41	1.08	5.7	1.70	5.5	3.2	¼­³²¼­	242	4.4	1029.6	-	50	
2022/04/01 01:10:00	21.1	³²³²µ¿	168	9.41	1.03	6.3	1.33	6.5	2.9	¼­³²¼­	243	4.4	1029.6	-	10	
2022/04/01 01:15:00	22.3	³²³²µ¿	165	9.40	1.15	6.3	1.61	6.0	2.4	¼­³²¼­	244	4.3	1029.6	-	19	
2022/04/01 01:20:00	20.7	³²³²µ¿	168	9.41	0.94	5.9	1.53	6.0	2.6	¼­³²¼­	245	4.4	1029.6	-	55	
2022/04/01 01:25:00	20.4	³²³²µ¿	162	9.39	0.94	6.3	1.21	6.5	3.6	¼­³²¼­	247	4.5	1029.7	-	15	
2022/04/01 01:30:00	17.9	³²	172	9.38	1.00	5.8	1.24	6.0	3.8	¼­³²¼­	242	4.5	1029.8	-	19	
2022/04/01 01:35:00	19.5	³²³²µ¿	165	9.39	0.81	6.0	1.01	7.0	3.5	¼­³²¼­	241	4.5	1029.8	-	19	
2022/04/01 01:40:00	19.5	³²	172	9.39	1.03	5.9	1.49	5.0	3.5	¼­³²¼­	243	4.4	1029.8	-	50	
2022/04/01 01:45:00	18.4	³²	176	9.37	1.27	6.4	1.52	6.0	3.5	¼­³²¼­	246	4.3	1029.8	-	33	
2022/04/01 01:50:00	18.0	³²	174	9.39	1.20	6.2	1.61	6.5	3.2	¼­³²¼­	245	4.2	1029.8	-	35	
2022/04/01 01:55:00	16.9	³²	171	9.39	1.10	6.2	1.44	6.0	3.3	¼­³²¼­	247	4.1	1029.8	-	42	
2022/04/01 02:00:00	19.9	³²	173	9.38	1.08	6.3	1.45	6.0	3.4	¼­³²¼­	245	4.3	1029.7	-	25	
2022/04/01 02:05:00	17.6	³²	171	9.38	1.06	6.2	1.60	6.0	3.8	¼­³²¼­	245	4.2	1029.7	-	4	
2022/04/01 02:10:00	16.8	³²³²µ¿	167	9.38	0.94	6.3	1.40	6.5	3.8	¼­³²¼­	242	4.2	1029.6	-	344	
2022/04/01 02:15:00	15.5	³²	171	9.38	1.15	6.3	1.70	6.0	3.5	¼­³²¼­	242	4.3	1029.6	-	23	
2022/04/01 02:20:00	16.2	³²	170	9.36	0.95	6.1	1.11	6.0	3.7	¼­³²¼­	245	4.3	1029.5	-	57	
2022/04/01 02:25:00	19.5	³²	177	9.37	1.14	5.8	1.39	6.0	3.6	¼­³²¼­	241	4.3	1029.5	-	42	
2022/04/01 02:30:00	15.6	³²	173	9.37	1.09	6.2	1.36	5.5	3.6	¼­³²¼­	241	4.2	1029.6	-	30	
2022/04/01 02:35:00	17.6	³²	177	9.38	0.95	5.8	1.38	6.0	3.5	¼­³²¼­	243	4.1	1029.6	-	52	
2022/04/01 02:40:00	16.0	³²	176	9.37	1.27	6.1	1.66	6.0	3.3	¼­³²¼­	241	4.1	1029.6	-	15	
2022/04/01 02:45:00	14.7	³²	174	9.38	0.92	5.9	1.43	6.0	3.7	¼­³²¼­	249	4.2	1029.6	-	16	
2022/04/01 02:50:00	15.0	³²	171	9.37	1.16	6.2	2.08	6.5	3.7	¼­³²¼­	252	4.3	1029.6	-	27	
2022/04/01 02:55:00	13.7	³²³²µ¿	164	9.37	1.06	6.4	1.63	6.0	3.7	¼­³²¼­	248	4.4	1029.6	-	25	
2022/04/01 03:00:00	14.6	³²³²µ¿	166	9.36	0.85	5.5	1.22	6.0	3.6	¼­³²¼­	253	4.5	1029.6	-	31	
2022/04/01 03:05:00	15.1	³²	174	9.37	0.95	5.8	1.18	6.5	3.3	¼­³²¼­	249	4.7	1029.6	-	53	
2022/04/01 03:10:00	14.3	³²	173	9.37	1.15	6.3	1.37	6.5	3.2	¼­³²¼­	246	4.7	1029.5	-	29	
2022/04/01 03:15:00	13.4	³²³²µ¿	165	9.37	1.20	6.2	1.76	6.5	3.4	¼­³²¼­	252	4.7	1029.6	-	7	
2022/04/01 03:20:00	14.2	³²	172	9.38	1.01	6.0	1.71	6.0	3.8	¼­³²¼­	250	4.6	1029.6	-	36	
2022/04/01 03:25:00	12.4	³²	176	9.39	1.18	6.0	1.90	6.0	3.5	¼­³²¼­	250	4.5	1029.5	-	23	
2022/04/01 03:30:00	12.6	³²	170	9.39	1.09	6.1	1.47	6.5	3.8	¼­³²¼­	254	4.6	1029.5	-	11	
2022/04/01 03:35:00	13.0	³²³²µ¿	165	9.38	1.02	6.0	1.22	6.0	3.7	¼­³²¼­	253	4.6	1029.5	-	15	
2022/04/01 03:40:00	13.3	³²³²µ¿	159	9.38	1.10	6.2	1.37	5.5	3.9	¼­³²¼­	253	4.8	1029.5	-	34	
2022/04/01 03:45:00	14.1	³²	170	9.39	1.14	6.1	1.58	5.5	3.8	¼­³²¼­	254	4.8	1029.6	-	12	
2022/04/01 03:50:00	13.3	³²	174	9.38	1.09	6.0	1.36	6.0	4.1	¼­³²¼­	256	4.9	1029.6	-	23	
2022/04/01 03:55:00	14.7	³²³²µ¿	156	9.36	1.14	6.1	1.63	5.5	4.0	¼­³²¼­	252	5.0	1029.7	-	21	
2022/04/01 04:00:00	14.5	³²³²µ¿	163	9.38	0.75	6.1	1.05	6.0	3.9	¼­³²¼­	250	5.0	1029.7	-	54	
2022/04/01 04:05:00	9.9	³²	172	9.37	0.88	5.6	1.11	4.0	3.9	¼­³²¼­	249	4.9	1029.8	-	15	
2022/04/01 04:10:00	14.1	³²³²µ¿	166	9.37	0.98	5.9	1.17	6.0	3.7	¼­	261	5.1	1029.8	-	17	
2022/04/01 04:15:00	13.4	³²	179	9.38	0.96	6.1	1.25	5.5	3.3	¼­	260	5.1	1029.8	-	24	
2022/04/01 04:20:00	12.4	³²³²µ¿	164	9.38	1.20	6.2	1.59	6.0	3.1	¼­³²¼­	257	5.0	1029.9	-	33	
2022/04/01 04:25:00	13.2	³²³²µ¿	157	9.39	0.96	6.0	1.23	5.5	3.3	¼­³²¼­	255	5.0	1029.9	-	24	
2022/04/01 04:30:00	13.7	³²	172	9.38	0.97	6.1	1.31	6.5	3.2	¼­³²¼­	257	5.0	1029.9	-	62	
2022/04/01 04:35:00	12.3	³²³²µ¿	168	9.37	0.95	5.8	1.38	6.0	3.1	¼­	264	5.0	1029.9	-	35	
2022/04/01 04:40:00	12.1	³²³²µ¿	162	9.38	0.95	6.2	1.44	6.5	2.8	¼­	274	5.1	1030.0	-	23	
2022/04/01 04:45:00	11.1	³²³²µ¿	165	9.37	1.06	6.0	1.36	6.0	3.3	¼­	281	5.2	1030.0	-	21	
2022/04/01 04:50:00	12.1	³²³²µ¿	163	9.37	0.84	5.9	1.01	6.0	3.2	¼­	281	5.4	1030.0	-	2	
2022/04/01 04:55:00	12.9	³²³²µ¿	166	9.36	0.80	6.2	1.06	6.0	4.2	¼­ºÏ¼­	285	5.5	1030.0	-	23	
2022/04/01 05:00:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2022/04/01 05:05:00	13.7	³²	171	9.37	0.83	6.3	1.11	6.0	4.1	¼­ºÏ¼­	299	5.6	1030.0	-	21	
2022/04/01 05:10:00	12.4	³²³²µ¿	162	9.36	0.79	5.6	1.17	6.0	3.9	¼­ºÏ¼­	296	5.7	1030.0	-	63	
2022/04/01 05:15:00	10.6	³²³²µ¿	167	9.35	0.99	6.0	1.34	5.5	3.8	¼­ºÏ¼­	294	5.7	1030.1	-	7	
2022/04/01 05:20:00	13.3	³²³²µ¿	160	9.37	0.97	6.1	1.52	6.0	3.2	¼­ºÏ¼­	287	5.7	1030.0	-	28	
2022/04/01 05:25:00	12.6	³²	182	9.36	0.83	5.7	1.48	6.0	2.3	¼­	260	5.5	1030.1	-	57	
2022/04/01 05:30:00	14.2	³²³²µ¿	168	9.36	0.89	5.9	1.24	6.5	2.2	¼­	267	5.4	1030.2	-	41	
2022/04/01 05:35:00	13.5	³²³²µ¿	163	9.36	0.93	6.0	1.18	6.0	2.0	¼­ºÏ¼­	288	5.3	1030.3	-	12	
2022/04/01 05:40:00	12.9	³²³²µ¿	160	9.36	0.82	5.7	1.26	6.0	3.2	ºÏ¼­	308	5.4	1030.3	-	11	
2022/04/01 05:45:00	14.4	³²	175	9.36	0.81	5.5	1.09	5.0	3.7	ºÏ¼­	308	5.5	1030.3	-	34	
